"no","station","date","Vinyl chloride","1,3-Butadiene","Dichloromethane","Chloroform","1,2-Dichloroethane","Benzene","Trichloroethylene","1,2-Dichloropropane","Tetrachloroethylene"
7,"(#7) Nopphaket Housing",2021-06-08,0.08,1.6,0.17,0.08,0.005,9.2,0.03,0.015,0.005
7,"(#7) Nopphaket Housing",2021-07-06,0.09,0.005,1.6,0.005,0.05,2.1,0.005,0.015,0.005
7,"(#7) Nopphaket Housing",2021-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"(#7) Nopphaket Housing",2021-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"(#7) Nopphaket Housing",2021-10-04,0.005,0.005,1.9,0.005,0.05,1.1,0.13,0.015,0.28
7,"(#7) Nopphaket Housing",2021-11-04,0.005,0.005,3.4,0.1,0.23,2.4,0.005,0.015,0.005
7,"(#7) Nopphaket Housing",2021-12-02,0.005,0.005,1.5,0.005,0.18,0.81,0.005,0.015,0.005
7,"(#7) Nopphaket Housing",2022-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"(#7) Nopphaket Housing",2022-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"(#7) Nopphaket Housing",2022-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"(#7) Nopphaket Housing",2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"(#7) Nopphaket Housing",2022-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"(#7) Nopphaket Housing",2022-06-14,0.005,0.005,0.94,5e-04,0.13,0.47,0.002,0.0025,0.005
7,"(#7) Nopphaket Housing",2022-07-05,0.005,0.005,9.5,0.06,0.12,2.2,0.002,0.0025,0.005
7,"(#7) Nopphaket Housing",2022-07-29,0.4,0.78,2.5,0.09,1.8,2.4,0.002,0.0025,0.005
7,"(#7) Nopphaket Housing",2022-08-02,0.49,1.7,0.46,5e-04,0.92,8.4,0.002,0.0025,0.005
7,"(#7) Nopphaket Housing",2022-09-06,0.005,0.005,4,0.11,0.1,1.1,0.002,0.0025,0.005
7,"(#7) Nopphaket Housing",2022-10-05,0.06,0.005,NA,NA,0.03,NA,0.002,0.0025,0.005
7,"(#7) Nopphaket Housing",2022-11-03,0.005,0.005,15,0.18,0.41,2,0.002,0.0025,0.005
7,"(#7) Nopphaket Housing",2022-12-07,0.005,0.005,9.1,0.24,0.6,1.8,0.002,0.34,0.005
7,"(#7) Nopphaket Housing",2023-01-10,0.005,0.005,5.2,NA,0.35,1.5,0.002,0.0025,0.005
7,"(#7) Nopphaket Housing",2023-02-07,0.005,0.41,11,5e-04,0.005,2.1,0.002,0.0025,0.005
7,"(#7) Nopphaket Housing",2023-03-08,0.005,0.005,4.7,5e-04,0.38,3.1,0.002,0.0025,0.005
7,"(#7) Nopphaket Housing",2023-04-04,0.005,0.005,7.8,5e-04,0.005,0.43,0.002,0.0025,0.005
7,"(#7) Nopphaket Housing",2023-05-09,0.002,0.38,4.4,0.005,0.005,0.88,0.005,0.005,0.005
7,"(#7) Nopphaket Housing",2023-06-07,2.3,2.2,0.77,0.23,0.31,5.1,0.0015,0.005,0.01
7,"(#7) Nopphaket Housing",2023-07-13,0.005,0.78,2.1,0.01,0.005,2.5,0.0015,0.005,0.01
7,"(#7) Nopphaket Housing",2023-08-08,0.41,1.6,0.44,0.01,0.34,4.5,0.0015,0.005,0.01
7,"(#7) Nopphaket Housing",2023-09-12,0.005,0.74,0.37,0.01,0.18,4.6,0.0015,0.005,0.01
7,"(#7) Nopphaket Housing",2023-10-10,0.002,0.002,4.2,0.55,0.1,2.1,0.005,0.005,0.005
7,"(#7) Nopphaket Housing",2023-11-07,0.002,0.002,4.9,0.005,0.005,1.4,0.19,0.005,0.005
7,"(#7) Nopphaket Housing",2023-12-07,0.25,1.4,4.3,0.27,0.61,1.6,0.005,0.21,0.005
7,"(#7) Nopphaket Housing",2024-01-11,0.09,0.77,11,0.22,0.41,2.7,0.005,0.005,0.005
7,"(#7) Nopphaket Housing",2024-02-06,0.09,0.005,2.2,0.55,0.36,2,0.005,0.005,0.01
7,"(#7) Nopphaket Housing",2024-03-19,0.005,0.005,22,0.005,0.1,1.3,0.005,0.005,0.01
7,"(#7) Nopphaket Housing",2024-04-25,0.005,0.005,0.09,0.01,0.01,0.44,0.005,0.005,0.01
7,"(#7) Nopphaket Housing",2024-05-28,0.005,0.005,0.07,0.09,0.15,2.8,0.005,0.005,0.01
7,"(#7) Nopphaket Housing",2024-06-25,0.005,0.005,3.5,0.01,0.01,4.3,0.005,0.005,0.01
7,"(#7) Nopphaket Housing",2024-07-24,0.005,0.005,0.24,0.01,0.01,2,0.005,0.005,0.01
7,"(#7) Nopphaket Housing",2024-08-20,0.005,0.93,1.1,0.01,0.01,1.5,0.005,0.005,0.01
7,"(#7) Nopphaket Housing",2024-09-17,0.005,0.005,2.7,0.005,0.005,1.5,0.005,0.005,0.01
7,"(#7) Nopphaket Housing",2024-10-22,0.005,0.005,3.6,0.01,0.2,1.4,0.005,0.005,0.01
7,"(#7) Nopphaket Housing",2024-11-26,0.005,0.005,7.4,0.01,0.18,1.1,0.005,0.005,0.01
7,"(#7) Nopphaket Housing",2024-12-17,0.005,0.005,7.5,0.22,0.61,1.8,0.005,0.22,0.01
